date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:42:32	100364/100364	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:17%20GMT	https://colorlib.com//polygon/admindek/default/menu-compact.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/menu-compact.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:32	99981/99981	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:19%20GMT	https://colorlib.com//polygon/admindek/default/menu-sidebar.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/menu-sidebar.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:33	135794/135794	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:19%20GMT	https://colorlib.com//polygon/admindek/default/menu-horizontal-static.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/menu-horizontal-static.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:33	101295/101295	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:18%20GMT	https://colorlib.com//polygon/admindek/default/menu-horizontal-fixed.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/menu-horizontal-fixed.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:33	102877/102877	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:18%20GMT	https://colorlib.com//polygon/admindek/default/menu-horizontal-icon.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/menu-horizontal-icon.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:34	102792/102792	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:18%20GMT	https://colorlib.com//polygon/admindek/default/menu-horizontal-icon-fixed.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/menu-horizontal-icon-fixed.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:34	100663/100663	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:17%20GMT	https://colorlib.com//polygon/admindek/default/menu-bottom.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/menu-bottom.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:34	101800/101800	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:20%20GMT	https://colorlib.com//polygon/admindek/default/navbar-light.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/navbar-light.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:34	159811/159811	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:28%20GMT	https://colorlib.com//polygon/admindek/default/widget-statistic.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/widget-statistic.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:34	217354/217354	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:28%20GMT	https://colorlib.com//polygon/admindek/default/widget-data.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/widget-data.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:35	129829/129829	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:27%20GMT	https://colorlib.com//polygon/admindek/default/widget-chart.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/widget-chart.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:35	113242/113242	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:37%20GMT	https://colorlib.com//polygon/admindek/default/alert.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/alert.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:35	110105/110105	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:40%20GMT	https://colorlib.com//polygon/admindek/default/breadcrumb.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/breadcrumb.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:35	173073/173073	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:42%20GMT	https://colorlib.com//polygon/admindek/default/button.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/button.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:35	117298/117298	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:40%20GMT	https://colorlib.com//polygon/admindek/default/box-shadow.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/box-shadow.html	(from https://colorlib.com//polygon/admindek/default/index.html)
